2025-10-01 15:03:34 - Inference - INFO - [DB] Object created: {'track_id': '2', 'type': 'Person'}
2025-10-01 15:04:56 - Inference - INFO - [DB] Object created: {'track_id': '1', 'type': 'Person'}
2025-10-03 11:14:59 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': '1', 'object_type': 'NO-Hardhat'}
2025-10-03 11:14:59 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': '2', 'object_type': 'Person'}
2025-10-03 11:17:48 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': '2', 'object_type': 'Person'}
2025-10-03 11:17:50 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': '4', 'object_type': 'Hardhat'}
2025-10-03 11:29:23 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': '1', 'object_type': 'Person'}
2025-10-03 11:32:11 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': '1', 'object_type': 'Person'}
2025-10-03 11:36:20 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': '1', 'object_type': 'Person'}
2025-10-03 11:37:07 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': '1', 'type': 'Person'}
2025-10-06 14:57:42 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': 1, 'type': 'Person'}
2025-10-06 14:57:54 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': 3, 'type': 'Person'}
2025-10-06 14:57:56 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': 1, 'type': 'Person'}
2025-10-06 14:58:15 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': 6, 'type': 'Person'}
2025-10-06 14:58:16 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': 7, 'type': 'Person'}
2025-10-06 14:58:18 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': 8, 'type': 'Person'}
2025-10-06 15:03:45 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': 1, 'type': 'Person'}
2025-10-06 15:03:53 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': 1, 'type': 'Person'}
2025-10-06 15:03:59 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': 1, 'type': 'Person'}
2025-10-06 15:04:02 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': 1, 'type': 'Person'}
2025-10-06 15:04:04 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': 1, 'type': 'Person'}
2025-10-06 15:04:05 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': 1, 'type': 'Person'}
2025-10-06 15:04:06 - Inference - INFO - [DB] Object created: {'action': 'insert_object', 'object_id': 1, 'type': 'Person'}
